# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
  437       1.829627061507e+03       1.829941362948e+01       5.000042901364e-02      -5.751855180200e+01       2.338365704439e-08       1.182052823604e-05       1.828647190260e-06 
  438       1.837296160973e+03       1.815397353634e+01       5.017487549554e-02      -5.856773976678e+01       2.331114340358e-08       1.160632906151e-05       1.816694937625e-06 
  439       1.845177416904e+03       1.800625035066e+01       5.035030554553e-02      -5.958539769029e+01       2.323895314030e-08       1.139546290733e-05       1.804612631212e-06 
  440       1.853264841582e+03       1.785632022474e+01       5.052671131410e-02      -6.057131587577e+01       2.316709443163e-08       1.118792014740e-05       1.792401281424e-06 
  441       1.861552301649e+03       1.770426089652e+01       5.070408466140e-02      -6.152528769395e+01       2.309557460049e-08       1.098368892227e-05       1.780061922933e-06 
  442       1.870033517204e+03       1.755015169875e+01       5.088241715521e-02      -6.244710961436e+01       2.302440009091e-08       1.078275510484e-05       1.767595614819e-06 
  443       1.878702060911e+03       1.739407356809e+01       5.106170006896e-02      -6.333658123651e+01       2.295357644311e-08       1.058510226583e-05       1.755003440721e-06 
  444       1.887551357101e+03       1.723610905424e+01       5.124192437978e-02      -6.419350532115e+01       2.288310826810e-08       1.039071163916e-05       1.742286508977e-06 
  445       1.896574680879e+03       1.707634232907e+01       5.142308076649e-02      -6.501768782150e+01       2.281299922222e-08       1.019956208707e-05       1.729445952772e-06 
  446       1.905765157224e+03       1.691485919575e+01       5.160515960759e-02      -6.580893791448e+01       2.274325198122e-08       1.001163006515e-05       1.716482930280e-06 
  447       1.915115760097e+03       1.675174709783e+01       5.178815097936e-02      -6.656706803194e+01       2.267386821413e-08       9.826889587082e-06       1.703398624812e-06 
  448       1.924619311541e+03       1.658709512842e+01       5.197204465377e-02      -6.729189389190e+01       2.260484855686e-08       9.645312189295e-06       1.690194244960e-06 
  449       1.934268480792e+03       1.642099403928e+01       5.215683009660e-02      -6.798323452977e+01       2.253619258542e-08       9.466866895413e-06       1.676871024744e-06 
  450       1.944055783373e+03       1.625353624994e+01       5.234249646536e-02      -6.864091232962e+01       2.246789878900e-08       9.291520180515e-06       1.663430223755e-06 
  451       1.953973580208e+03       1.608481585686e+01       5.252903260740e-02      -6.926475305535e+01       2.239996454258e-08       9.119235935223e-06       1.649873127305e-06 
  452       1.964014076719e+03       1.591492864251e+01       5.271642705784e-02      -6.985458588199e+01       2.233238607939e-08       8.949975429620e-06       1.636201046570e-06 
  453       1.974169321936e+03       1.574397208450e+01       5.290466803765e-02      -7.041024342689e+01       2.226515846301e-08       8.783697276979e-06       1.622415318737e-06 
  454       1.984431207594e+03       1.557204536475e+01       5.309374345163e-02      -7.093156178098e+01       2.219827555917e-08       8.620357397321e-06       1.608517307151e-06 
  455       1.994791467245e+03       1.539924937853e+01       5.328364088647e-02      -7.141838053998e+01       2.213173000728e-08       8.459908980795e-06       1.594508401461e-06 
  456       2.005241675355e+03       1.522568674368e+01       5.347434760869e-02      -7.187054283564e+01       2.206551319167e-08       8.302302450877e-06       1.580390017770e-06 
  457       2.015773246414e+03       1.505146180965e+01       5.366585056274e-02      -7.228789536698e+01       2.199961521246e-08       8.147485427392e-06       1.566163598776e-06 
  458       2.026377434035e+03       1.487668066668e+01       5.385813636896e-02      -7.267028843154e+01       2.193402485623e-08       7.995402689359e-06       1.551830613925e-06 
  459       2.037045330063e+03       1.470145115487e+01       5.405119132163e-02      -7.301757595657e+01       2.186872956630e-08       7.845996137658e-06       1.537392559555e-06 
  460       2.047767863674e+03       1.452588287337e+01       5.424500138696e-02      -7.332961553029e+01       2.180371541277e-08       7.699204757521e-06       1.522850959045e-06 
  461       2.058535800483e+03       1.435008718945e+01       5.443955220113e-02      -7.360626843314e+01       2.173896706222e-08       7.554964580839e-06       1.508207362962e-06 
  462       2.069339741648e+03       1.417417724764e+01       5.463482906829e-02      -7.384739966897e+01       2.167446774710e-08       7.413208648299e-06       1.493463349210e-06 
  463       2.080170122971e+03       1.399826797886e+01       5.483081695859e-02      -7.405287799631e+01       2.161019923487e-08       7.273866971335e-06       1.478620523178e-06 
  464       2.091017214004e+03       1.382247610953e+01       5.502750050617e-02      -7.422257595960e+01       2.154614179671e-08       7.136866493912e-06       1.463680517886e-06 
  465       2.101871117155e+03       1.364692017072e+01       5.522486400722e-02      -7.435636992040e+01       2.148227417609e-08       7.002131054120e-06       1.448644994136e-06 
  466       2.112722809362e+03       1.347171263581e+01       5.542289097970e-02      -7.445419883680e+01       2.141857939019e-08       6.869596737524e-06       1.433515610566e-06 
  467       2.123567304721e+03       1.329693604515e+01       5.562156283153e-02      -7.451624255618e+01       2.135506259930e-08       6.739258807765e-06       1.418293931956e-06 
  468       2.134400588765e+03       1.312266615449e+01       5.582086014696e-02      -7.454274914653e+01       2.129173428550e-08       6.611126892060e-06       1.402981516930e-06 
  469       2.145218584495e+03       1.294897974384e+01       5.602076311885e-02      -7.453397671459e+01       2.122860450542e-08       6.485209772857e-06       1.387579947764e-06 
  470       2.156017152052e+03       1.277595462224e+01       5.622125154644e-02      -7.449019346943e+01       2.116568287679e-08       6.361515374225e-06       1.372090830486e-06 
  471       2.166792088404e+03       1.260366963258e+01       5.642230483314e-02      -7.441167778612e+01       2.110297856483e-08       6.240050748174e-06       1.356515794971e-06 
  472       2.177539127019e+03       1.243220465632e+01       5.662390198429e-02      -7.429871826936e+01       2.104050026848e-08       6.120822060908e-06       1.340856495048e-06 
  473       2.188253937546e+03       1.226164061834e+01       5.682602160494e-02      -7.415161381708e+01       2.097825620650e-08       6.003834579013e-06       1.325114608591e-06 
  474       2.198932125494e+03       1.209205949169e+01       5.702864189763e-02      -7.397067368407e+01       2.091625410340e-08       5.889092655568e-06       1.309291837622e-06 
  475       2.209569231911e+03       1.192354430236e+01       5.723174066016e-02      -7.375621754564e+01       2.085450117520e-08       5.776599716196e-06       1.293389908410e-06 
  476       2.220160733063e+03       1.175617913409e+01       5.743529528335e-02      -7.350857556123e+01       2.079300411513e-08       5.666358245039e-06       1.277410571568e-06 
  477       2.230702040114e+03       1.159004913313e+01       5.763928274886e-02      -7.322808843802e+01       2.073176907901e-08       5.558369770669e-06       1.261355602155e-06 
  478       2.241188498801e+03       1.142524051305e+01       5.784367962690e-02      -7.291510749458e+01       2.067080167065e-08       5.452634851930e-06       1.245226799772e-06 
  479       2.251615389118e+03       1.126184055950e+01       5.804846207408e-02      -7.256999472451e+01       2.061010692697e-08       5.349153063708e-06       1.229025988661e-06 
  480       2.261977924995e+03       1.109993763500e+01       5.825360583110e-02      -7.219312286001e+01       2.054968930301e-08       5.247922982635e-06       1.212755017805e-06 
  481       2.272271253969e+03       1.093962118372e+01       5.845908622061e-02      -7.178487543560e+01       2.048955265680e-08       5.148942172726e-06       1.196415761029e-06 
  482       2.282490456875e+03       1.078098173628e+01       5.866487814492e-02      -7.134564685164e+01       2.042970023406e-08       5.052207170941e-06       1.180010117091e-06 
  483       2.292630547516e+03       1.062411091449e+01       5.887095608381e-02      -7.087584243806e+01       2.037013465269e-08       4.957713472685e-06       1.163540009791e-06 
  484       2.302686472344e+03       1.046910143618e+01       5.907729409230e-02      -7.037587851792e+01       2.031085788720e-08       4.865455517236e-06       1.147007388061e-06 
  485       2.312653110142e+03       1.031604711999e+01       5.928386579839e-02      -6.984618247107e+01       2.025187125290e-08       4.775426673104e-06       1.130414226068e-06 
  486       2.322525271700e+03       1.016504289007e+01       5.949064440091e-02      -6.928719279775e+01       2.019317538994e-08       4.687619223324e-06       1.113762523312e-06 
  487       2.332297699493e+03       1.001618478098e+01       5.969760266721e-02      -6.869935918225e+01       2.013477024725e-08       4.602024350677e-06       1.097054304724e-06 
  488       2.341965067366e+03       9.869569942365e+00       5.990471293099e-02      -6.808314255653e+01       2.007665506625e-08       4.518632122842e-06       1.080291620764e-06 
  489       2.351521980205e+03       9.725296643821e+00       6.011194709006e-02      -6.743901516383e+01       2.001882836440e-08       4.437431477486e-06       1.063476547521e-06 
  490       2.360962973622e+03       9.583464279624e+00       6.031927660412e-02      -6.676746062232e+01       1.996128791866e-08       4.358410207274e-06       1.046611186810e-06 
  491       2.370282513630e+03       9.444173373541e+00       6.052667249252e-02      -6.606897398869e+01       1.990403074867e-08       4.281554944823e-06       1.029697666271e-06 
  492       2.379474996325e+03       9.307525583600e+00       6.073410533204e-02      -6.534406182185e+01       1.984705309992e-08       4.206851147575e-06       1.012738139467e-06 
  493       2.388534747565e+03       9.173623706878e+00       6.094154525468e-02      -6.459324224648e+01       1.979035042657e-08       4.134283082610e-06       9.957347859838e-07 
  494       2.397456022645e+03       9.042571684285e+00       6.114896194542e-02      -6.381704501671e+01       1.973391737428e-08       4.063833811389e-06       9.786898115255e-07 
  495       2.406233005980e+03       8.914474605342e+00       6.135632463998e-02      -6.301601157972e+01       1.967774776274e-08       3.995485174423e-06       9.616054480154e-07 
  496       2.414859810785e+03       8.789438712968e+00       6.156360212265e-02      -6.219069513937e+01       1.962183456814e-08       3.929217775879e-06       9.444839536930e-07 
  497       2.423330478748e+03       8.667571408263e+00       6.177076272401e-02      -6.134166071986e+01       1.956616990536e-08       3.865010968115e-06       9.273276132123e-07 
  498       2.431638979715e+03       8.548981255287e+00       6.197777431870e-02      -6.046948522932e+01       1.951074501013e-08       3.802842836148e-06       9.101387377399e-07 
  499       2.439779211367e+03       8.433777985848e+00       6.218460432326e-02      -5.957475752345e+01       1.945555022087e-08       3.742690182049e-06       8.929196650533e-07 
  500       2.447744998897e+03       8.322072504282e+00       6.239121969384e-02      -5.865807846914e+01       1.940057496047e-08       3.684528509274e-06       8.756727596390e-07 
  501       2.455530094692e+03       8.213976892234e+00       6.259758692400e-02      -5.772006100814e+01       1.934580771788e-08       3.628332006925e-06       8.584004127902e-07 
  502       2.463128178012e+03       8.109604413446e+00       6.280367204249e-02      -5.676133022061e+01       1.929123602950e-08       3.574073533938e-06       8.411050427054e-07 
  503       2.470532854664e+03       8.009069518538e+00       6.300944061100e-02      -5.578252338885e+01       1.923684646039e-08       3.521724603213e-06       8.237890945856e-07 
  504       2.477737656688e+03       7.912487849786e+00       6.321485772198e-02      -5.478429006081e+01       1.918262458538e-08       3.471255365659e-06       8.064550407329e-07 
  505       2.484736990552e+03       7.819962479644e+00       6.341989052569e-02      -5.376727034548e+01       1.912855890840e-08       3.422639535994e-06       7.891052461319e-07 
  506       2.491529012444e+03       7.731542180551e+00       6.362451589610e-02      -5.273202898171e+01       1.907465290872e-08       3.375869437159e-06       7.717415586004e-07 
  507       2.498112835180e+03       7.647261962343e+00       6.382871298147e-02      -5.167911949536e+01       1.902091364865e-08       3.330941573305e-06       7.543657011515e-07 
  508       2.504487587304e+03       7.567156728115e+00       6.403246069397e-02      -5.060910584911e+01       1.896734788862e-08       3.287851737178e-06       7.369794048266e-07 
  509       2.510652413210e+03       7.491261272549e+00       6.423573770865e-02      -4.952256249592e+01       1.891396207859e-08       3.246595000848e-06       7.195844086024e-07 
  510       2.516606473266e+03       7.419610280223e+00       6.443852246236e-02      -4.842007443237e+01       1.886076234946e-08       3.207165706397e-06       7.021824592966e-07 
  511       2.522348943938e+03       7.352238323936e+00       6.464079315278e-02      -4.730223725211e+01       1.880775450435e-08       3.169557456563e-06       6.847753114734e-07 
  512       2.527879017918e+03       7.289179863022e+00       6.484252773732e-02      -4.616965719927e+01       1.875494400980e-08       3.133763105346e-06       6.673647273476e-07 
  513       2.533195904243e+03       7.230469241671e+00       6.504370393213e-02      -4.502295122181e+01       1.870233598692e-08       3.099774748570e-06       6.499524766886e-07 
  514       2.538298828423e+03       7.176140687243e+00       6.524429921102e-02      -4.386274702500e+01       1.864993520235e-08       3.067583714406e-06       6.325403367225e-07 
  515       2.543187032566e+03       7.126228308592e+00       6.544429080446e-02      -4.268968312476e+01       1.859774605926e-08       3.037180553853e-06       6.151300920348e-07 
  516       2.547859775500e+03       7.080766094378e+00       6.564365569854e-02      -4.150440890111e+01       1.854577258816e-08       3.008555031178e-06       5.977235344714e-07 
  517       2.552316332898e+03       7.039787911390e+00       6.584237063389e-02      -4.030758465155e+01       1.849401843769e-08       2.981696114312e-06       5.803224630391e-07 
  518       2.556555997404e+03       7.003327502859e+00       6.604041210471e-02      -3.909988164449e+01       1.844248686524e-08       2.956591965213e-06       5.629286838051e-07 
  519       2.560578078755e+03       6.971418486784e+00       6.623775635765e-02      -3.788198217261e+01       1.839118072757e-08       2.933229930176e-06       5.455440097961e-07 
  520       2.564381903909e+03       6.944094354240e+00       6.643437939087e-02      -3.665457960633e+01       1.834010247130e-08       2.911596530113e-06       5.281702608963e-07 
  521       2.567966817166e+03       6.921388467705e+00       6.663025695290e-02      -3.541837844715e+01       1.828925412324e-08       2.891677450785e-06       5.108092637449e-07 
  522       2.571332180293e+03       6.903334059374e+00       6.682536454171e-02      -3.417409438111e+01       1.823863728080e-08       2.873457532994e-06       4.934628516323e-07 
  523       2.574477372649e+03       6.889964229475e+00       6.701967740356e-02      -3.292245433214e+01       1.818825310211e-08       2.856920762736e-06       4.761328643960e-07 
  524       2.577401791312e+03       6.881311944592e+00       6.721317053207e-02      -3.166419651554e+01       1.813810229617e-08       2.842050261311e-06       4.588211483156e-07 
  525       2.580104851198e+03       6.877410035981e+00       6.740581866710e-02      -3.040007049129e+01       1.808818511291e-08       2.828828275394e-06       4.415295560072e-07 
  526       2.582585985189e+03       6.878291197886e+00       6.759759629375e-02      -2.913083721756e+01       1.803850133307e-08       2.817236167059e-06       4.242599463161e-07 
  527       2.584844644259e+03       6.883987985861e+00       6.778847764132e-02      -2.785726910401e+01       1.798905025810e-08       2.807254403770e-06       4.070141842102e-07 
  528       2.586880297593e+03       6.894532815086e+00       6.797843668228e-02      -2.658015006528e+01       1.793983069985e-08       2.798862548325e-06       3.897941406714e-07 
  529       2.588692432717e+03       6.909957958683e+00       6.816744713122e-02      -2.530027557436e+01       1.789084097025e-08       2.792039248760e-06       3.726016925865e-07 
  530       2.590280555620e+03       6.930295546038e+00       6.835548244380e-02      -2.401845271599e+01       1.784207887090e-08       2.786762228215e-06       3.554387226379e-07 
  531       2.591644190877e+03       6.955577561117e+00       6.854251581575e-02      -2.273550024008e+01       1.779354168248e-08       2.783008274754e-06       3.383071191926e-07 
  532       2.592782881776e+03       6.985835840786e+00       6.872852018180e-02      -2.145224861509e+01       1.774522615416e-08       2.780753231146e-06       3.212087761913e-07 
  533       2.593696190441e+03       7.021102073125e+00       6.891346821465e-02      -2.016954008148e+01       1.769712849286e-08       2.779971984608e-06       3.041455930359e-07 
  534       2.594383697957e+03       7.061407795750e+00       6.909733232395e-02      -1.888822870507e+01       1.764924435243e-08       2.780638456498e-06       2.871194744768e-07 
  535       2.594845004495e+03       7.106784394131e+00       6.928008465524e-02      -1.760918043047e+01       1.760156882274e-08       2.782725591980e-06       2.701323304992e-07 
  536       2.595079729434e+03       7.157263099908e+00       6.946169708892e-02      -1.633327313449e+01       1.755409641867e-08       2.786205349635e-06       2.531860762086e-07 
  537       2.595087511489e+03       7.212874989209e+00       6.964214123922e-02      -1.506139667951e+01       1.750682106898e-08       2.791048691037e-06       2.362826317158e-07 
  538       2.594868008831e+03       7.273650980970e+00       6.982138845316e-02      -1.379445296695e+01       1.745973610512e-08       2.797225570289e-06       2.194239220203e-07 
  539       2.594420899217e+03       7.339621835253e+00       6.999940980950e-02      -1.253335599058e+01       1.741283424994e-08       2.804704923515e-06       2.026118768940e-07 
  540       2.593745880109e+03       7.410818151563e+00       7.017617611773e-02      -1.127903189004e+01       1.736610760624e-08       2.813454658312e-06       1.858484307635e-07 
  541       2.592842668802e+03       7.487270367165e+00       7.035165791700e-02      -1.003241900415e+01       1.731954764534e-08       2.823441643161e-06       1.691355225914e-07 
  542       2.591711002546e+03       7.569008755407e+00       7.052582547511e-02      -8.794467924350e+00       1.727314519542e-08       2.834631696794e-06       1.524750957575e-07 
  543       2.590350638674e+03       7.656063424031e+00       7.069864878745e-02      -7.566141548127e+00       1.722689042986e-08       2.846989577526e-06       1.358690979387e-07 
  544       2.588761783203e+03       7.748453291433e+00       7.087010149999e-02      -6.348326398687e+00       1.718077553593e-08       2.860484035876e-06       1.193193177404e-07 
  545       2.586946389003e+03       7.846152694602e+00       7.104017279570e-02      -5.141563867457e+00       1.713480290241e-08       2.875103217413e-06       1.028268876236e-07 
  546       2.584906892614e+03       7.949123884321e+00       7.120885582416e-02      -3.946311885254e+00       1.708897734541e-08       2.890839856001e-06       8.639276082064e-08 
  547       2.582645789204e+03       8.057327960258e+00       7.137614380685e-02      -2.763033022819e+00       1.704330346154e-08       2.907686261384e-06       7.001787246888e-08 
  548       2.580165632866e+03       8.170724864830e+00       7.154203003771e-02      -1.592194508305e+00       1.699778562231e-08       2.925634314501e-06       5.370313928672e-08 
  549       2.577469036920e+03       8.289273377056e+00       7.170650788371e-02      -4.342682447703e-01       1.695242796846e-08       2.944675462789e-06       3.744945924878e-08 
  550       2.574558674205e+03       8.412931106416e+00       7.186957078536e-02       7.102691723340e-01       1.690723440427e-08       2.964800715454e-06       2.125771125919e-08 
  551       2.571437277381e+03       8.541654486706e+00       7.203121225731e-02       1.840936437671e+00       1.686220859184e-08       2.986000638735e-06       5.128754823517e-09 
  552       2.568107639225e+03       8.675398769897e+00       7.219142588887e-02       2.957247518530e+00       1.681735394528e-08       3.008265351147e-06      -1.093657028086e-08 
  553       2.564572612929e+03       8.814118019991e+00       7.235020534457e-02       4.058711637332e+00       1.677267362483e-08       3.031584518698e-06      -2.693744433589e-08 
  554       2.560835112400e+03       8.957765106878e+00       7.250754436469e-02       5.144833254146e+00       1.672817053095e-08       3.055947350101e-06      -4.287306801553e-08 
  555       2.556898112554e+03       9.106291700191e+00       7.266343676586e-02       6.215112049192e+00       1.668384729841e-08       3.081342591952e-06      -5.874266271987e-08 
  556       2.552764649618e+03       9.259648263168e+00       7.281787644155e-02       7.269042905353e+00       1.663970629021e-08       3.107758523904e-06      -7.454547091086e-08 
  557       2.548437821424e+03       9.417784046504e+00       7.297085736268e-02       8.306115890687e+00       1.659574959155e-08       3.135182953809e-06      -9.028075644945e-08 
  558       2.543920787709e+03       9.580647082208e+00       7.312237357812e-02       9.325816240931e+00       1.655197900367e-08       3.163603212852e-06      -1.059478049343e-07 
  559       2.539216770415e+03       9.748184177465e+00       7.327241921528e-02       1.032762434202e+01       1.650839603773e-08       3.193006150664e-06      -1.215459240422e-07 
  560       2.534329053982e+03       9.920340908488e+00       7.342098848064e-02       1.131101571258e+01       1.646500190849e-08       3.223378130408e-06      -1.370744438693e-07 
  561       2.529260985647e+03       1.009706161438e+01       7.356807566029e-02       1.227546098646e+01       1.642179752809e-08       3.254705023859e-06      -1.525327172750e-07 
  562       2.524015975747e+03       1.027828939097e+01       7.371367512051e-02       1.322042589522e+01       1.637878349969e-08       3.286972206459e-06      -1.679201202263e-07 
  563       2.518597498010e+03       1.046396608472e+01       7.385778130832e-02       1.414537125065e+01       1.633596011103e-08       3.320164552350e-06      -1.832360521440e-07 
  564       2.513009089857e+03       1.065403228652e+01       7.400038875200e-02       1.504975292730e+01       1.629332732804e-08       3.354266429399e-06      -1.984799362510e-07 
  565       2.507254352698e+03       1.084842732558e+01       7.414149206166e-02       1.593302184494e+01       1.625088478827e-08       3.389261694189e-06      -2.136512199210e-07 
  566       2.501336952231e+03       1.104708926330e+01       7.428108592979e-02       1.679462395112e+01       1.620863179435e-08       3.425133687009e-06      -2.287493750297e-07 
  567       2.495260618740e+03       1.124995488708e+01       7.441916513183e-02       1.763400020365e+01       1.616656730737e-08       3.461865226811e-06      -2.437738983069e-07 
  568       2.489029147390e+03       1.145695970423e+01       7.455572452668e-02       1.845058655311e+01       1.612468994018e-08       3.499438606157e-06      -2.587243116906e-07 
  569       2.482646398531e+03       1.166803793579e+01       7.469075905728e-02       1.924381392538e+01       1.608299795069e-08       3.537835586143e-06      -2.736001626821e-07 
  570       2.476116297988e+03       1.188312251039e+01       7.482426375115e-02       2.001310820415e+01       1.604148923502e-08       3.577037391304e-06      -2.884010247031e-07 
  571       2.469442837364e+03       1.210214505813e+01       7.495623372097e-02       2.075789021338e+01       1.600016132071e-08       3.617024704507e-06      -3.031264974538e-07 
  572       2.462630074340e+03       1.232503590443e+01       7.508666416506e-02       2.147757569988e+01       1.595901135976e-08       3.657777661818e-06      -3.177762072730e-07 
  573       2.455682132964e+03       1.255172406386e+01       7.521555036802e-02       2.217157531578e+01       1.591803612172e-08       3.699275847352e-06      -3.323498074997e-07 
  574       2.448603203958e+03       1.278213723402e+01       7.534288770122e-02       2.283929460102e+01       1.587723198661e-08       3.741498288106e-06      -3.468469788355e-07 
  575       2.441397545011e+03       1.301620178940e+01       7.546867162337e-02       2.348013396591e+01       1.583659493789e-08       3.784423448777e-06      -3.612674297095e-07 
  576       2.434069481080e+03       1.325384277524e+01       7.559289768106e-02       2.409348867362e+01       1.579612055529e-08       3.828029226552e-06      -3.756108966441e-07 
  577       2.426623404682e+03       1.349498390136e+01       7.571556150933e-02       2.467874882266e+01       1.575580400763e-08       3.872292945886e-06      -3.898771446223e-07 
  578       2.419063776201e+03       1.373954753603e+01       7.583665883223e-02       2.523529932944e+01       1.571564004556e-08       3.917191353262e-06      -4.040659674569e-07 
  579       2.411395124176e+03       1.398745469986e+01       7.595618546332e-02       2.576251991073e+01       1.567562299425e-08       3.962700611930e-06      -4.181771881611e-07 
  580       2.403622045606e+03       1.423862505961e+01       7.607413730626e-02       2.625978506621e+01       1.563574674601e-08       4.008796296628e-06      -4.322106593201e-07 
  581       2.395749206245e+03       1.449297692205e+01       7.619051035539e-02       2.672646406095e+01       1.559600475287e-08       4.055453388282e-06      -4.461662634650e-07 
  582       2.387781340899e+03       1.475042722786e+01       7.630530069619e-02       2.716192090795e+01       1.555639001911e-08       4.102646268695e-06      -4.600439134477e-07 
  583       2.379723052597e+03       1.501089093234e+01       7.641850717806e-02       2.756561561700e+01       1.551689699072e-08       4.150351982228e-06      -4.738432095698e-07 
  584       2.371578203970e+03       1.527427914309e+01       7.653013950456e-02       2.793741075563e+01       1.547752734328e-08       4.198560166117e-06      -4.875623960771e-07 
  585       2.363350511254e+03       1.554050092371e+01       7.664021034631e-02       2.827727251196e+01       1.543828446747e-08       4.247263481159e-06      -5.011993663678e-07 
  586       2.355043744271e+03       1.580946389629e+01       7.674873268866e-02       2.858517013963e+01       1.539917159424e-08       4.296454376244e-06      -5.147520027392e-07 
  587       2.346661726655e+03       1.608107423514e+01       7.685571983318e-02       2.886107597589e+01       1.536019179104e-08       4.346125086428e-06      -5.282181764055e-07 
  588       2.338208336081e+03       1.635523666033e+01       7.696118539915e-02       2.910496545989e+01       1.532134795809e-08       4.396267630991e-06      -5.415957475146e-07 
  589       2.329687504488e+03       1.663185443141e+01       7.706514332502e-02       2.931681715083e+01       1.528264282461e-08       4.446873811493e-06      -5.548825651661e-07 
  590       2.321103218312e+03       1.691082934101e+01       7.716760786999e-02       2.949661274617e+01       1.524407894498e-08       4.497935209825e-06      -5.680764674293e-07 
  591       2.312459518708e+03       1.719206170850e+01       7.726859361538e-02       2.964433709984e+01       1.520565869489e-08       4.549443186252e-06      -5.811752813614e-07 
  592       2.303760501778e+03       1.747545037362e+01       7.736811546624e-02       2.975997824045e+01       1.516738426746e-08       4.601388877442e-06      -5.941768230261e-07 
  593       2.295010318799e+03       1.776089269012e+01       7.746618865277e-02       2.984352738946e+01       1.512925766934e-08       4.653763194501e-06      -6.070788975122e-07 
  594       2.286213176449e+03       1.804828451941e+01       7.756282873183e-02       2.989497897940e+01       1.509128071674e-08       4.706556820994e-06      -6.198792989529e-07 
  595       2.277373337036e+03       1.833752022419e+01       7.765805158845e-02       2.991433067209e+01       1.505345503143e-08       4.759760210957e-06      -6.325758105452e-07 
  596       2.268495118723e+03       1.862849266211e+01       7.775187343729e-02       2.990158337681e+01       1.501578203677e-08       4.813363586906e-06      -6.451662045690e-07 
  597       2.259582895753e+03       1.892109317938e+01       7.784431082417e-02       2.985674126850e+01       1.497826295362e-08       4.867356937841e-06      -6.576482424076e-07 
  598       2.250641098681e+03       1.921521160443e+01       7.793538062755e-02       2.977981180600e+01       1.494089879627e-08       4.921730017238e-06      -6.700196745675e-07 
  599       2.241674214598e+03       1.951073624157e+01       7.802510005999e-02       2.967080575021e+01       1.490369036833e-08       4.976472341040e-06      -6.822782406988e-07 
  600       2.232686787356e+03       1.980755386458e+01       7.811348666970e-02       2.952973718230e+01       1.486663825856e-08       5.031573185635e-06      -6.944216696161e-07 
  601       2.223683417801e+03       2.010554971041e+01       7.820055834199e-02       2.935662352194e+01       1.482974283670e-08       5.087021585834e-06      -7.064476793191e-07 
  602       2.214668763993e+03       2.040460747277e+01       7.828633330077e-02       2.915148554544e+01       1.479300424924e-08       5.142806332835e-06      -7.183539770143e-07 
  603       2.205647541438e+03       2.070460929580e+01       7.837083011005e-02       2.891434740404e+01       1.475642241517e-08       5.198915972187e-06      -7.301382591360e-07 
  604       2.196624523312e+03       2.100543576770e+01       7.845406767545e-02       2.864523664202e+01       1.471999702170e-08       5.255338801743e-06      -7.417982113685e-07 
  605       2.187604540690e+03       2.130696591439e+01       7.853606524566e-02       2.834418421497e+01       1.468372751993e-08       5.312062869611e-06      -7.533315086678e-07 
  606       2.178592482772e+03       2.160907719311e+01       7.861684241395e-02       2.801122450793e+01       1.464761312047e-08       5.369075972087e-06      -7.647358152840e-07 
  607       2.169593297109e+03       2.191164548610e+01       7.869641911965e-02       2.764639535365e+01       1.461165278910e-08       5.426365651597e-06      -7.760087847841e-07 
  608       2.160611989833e+03       2.221454509423e+01       7.877481564966e-02       2.724973805076e+01       1.457584524230e-08       5.483919194623e-06      -7.871480600743e-07 
  609       2.151653625879e+03       2.251764873064e+01       7.885205263994e-02       2.682129738199e+01       1.454018894281e-08       5.541723629617e-06      -7.981512734237e-07 
  610       2.142723329218e+03       2.282082751435e+01       7.892815107700e-02       2.636112163231e+01       1.450468209512e-08       5.599765724925e-06      -8.090160464875e-07 
  611       2.133826283080e+03       2.312395096397e+01       7.900313229938e-02       2.586926260724e+01       1.446932264094e-08       5.658031986686e-06      -8.197399903303e-07 
  612       2.124967730180e+03       2.342688699127e+01       7.907701799915e-02       2.534577565094e+01       1.443410825465e-08       5.716508656736e-06      -8.303207054504e-07 
  613       2.116152972950e+03       2.372950189487e+01       7.914983022342e-02       2.479071966450e+01       1.439903633867e-08       5.775181710502e-06      -8.407557818041e-07 
  614       2.107387373761e+03       2.403166035384e+01       7.922159137582e-02       2.420415712407e+01       1.436410401888e-08       5.834036854887e-06      -8.510427988295e-07 
  615       2.098676355152e+03       2.433322542138e+01       7.929232421798e-02       2.358615409910e+01       1.432930813985e-08       5.893059526150e-06      -8.611793254722e-07 
  616       2.090025400056e+03       2.463405851845e+01       7.936205187104e-02       2.293678027056e+01       1.429464526022e-08       5.952234887783e-06      -8.711629202094e-07 
  617       2.081440052029e+03       2.493401942738e+01       7.943079781714e-02       2.225610894907e+01       1.426011164793e-08       6.011547828372e-06      -8.809911310755e-07 
  618       2.072925915475e+03       2.523296628556e+01       7.949858590090e-02       2.154421709319e+01       1.422570327542e-08       6.070982959464e-06      -8.906614956880e-07 
  619       2.064488655875e+03       2.553075557904e+01       7.956544033093e-02       2.080118532755e+01       1.419141581482e-08       6.130524613412e-06      -9.001715412726e-07 
