# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
 2082       2.166981025970e+02       5.263256884660e+00       4.865458820953e-02      -1.002784491929e+01       2.068785201875e-09       5.144770997716e-07      -1.181202706027e-08 
 2083       2.162357927523e+02       5.244401857611e+00       4.860556710489e-02      -9.891744859129e+00       2.067158088273e-09       5.127594051423e-07      -1.118388834132e-08 
 2084       2.157668566598e+02       5.226202140495e+00       4.855644713072e-02      -9.755947115509e+00       2.065532621748e-09       5.110302153636e-07      -1.055148822468e-08 
 2085       2.152913595878e+02       5.208656481599e+00       4.850722789834e-02      -9.620495526674e+00       2.063908850416e-09       5.092889838412e-07      -9.914916457780e-09 
 2086       2.148093671034e+02       5.191763618747e+00       4.845790901758e-02      -9.485434095057e+00       2.062286822535e-09       5.075351609693e-07      -9.274263358438e-09 
 2087       2.143209450731e+02       5.175522279283e+00       4.840849009675e-02      -9.350806987481e+00       2.060666586512e-09       5.057681941232e-07      -8.629619816298e-09 
 2088       2.138261596633e+02       5.159931180053e+00       4.835897074269e-02      -9.216658535346e+00       2.059048190897e-09       5.039875276529e-07      -7.981077294219e-09 
 2089       2.133250773405e+02       5.144989027395e+00       4.830935056068e-02      -9.083033234834e+00       2.057431684386e-09       5.021926028751e-07      -7.328727829682e-09 
 2090       2.128177648719e+02       5.130694517122e+00       4.825962915453e-02      -8.949975747095e+00       2.055817115821e-09       5.003828580666e-07      -6.672664036198e-09 
 2091       2.123042893254e+02       5.117046334506e+00       4.820980612652e-02      -8.817530898446e+00       2.054204534188e-09       4.985577284570e-07      -6.012979104721e-09 
 2092       2.117847180703e+02       5.104043154265e+00       4.815988107743e-02      -8.685743680567e+00       2.052593988621e-09       4.967166462216e-07      -5.349766805053e-09 
 2093       2.112591187778e+02       5.091683640549e+00       4.810985360651e-02      -8.554659250692e+00       2.050985528398e-09       4.948590404738e-07      -4.683121487260e-09 
 2094       2.107275594207e+02       5.079966446920e+00       4.805972331150e-02      -8.424322931809e+00       2.049379202943e-09       4.929843372587e-07      -4.013138083083e-09 
 2095       2.101901082746e+02       5.068890216343e+00       4.800948978860e-02      -8.294780212848e+00       2.047775061828e-09       4.910919595451e-07      -3.339912107354e-09 
 2096       2.096468339178e+02       5.058453581170e+00       4.795915263253e-02      -8.166076748883e+00       2.046173154770e-09       4.891813272187e-07      -2.663539659411e-09 
 2097       2.090978052317e+02       5.048655163122e+00       4.790871143644e-02      -8.038258361322e+00       2.044573531631e-09       4.872518570751e-07      -1.984117424516e-09 
